APP_LOG: 2024/12/04 13:48:05 logger.go:25: Method: OPTIONS, Path: /users/profile, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:48:05 logger.go:25: Method: GET, Path: /users/profile, Status: 200, Duration: 1.1127ms
APP_LOG: 2024/12/04 13:48:05 logger.go:25: Method: OPTIONS, Path: /products, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:48:05 logger.go:25: Method: OPTIONS, Path: /categories, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:48:05 logger.go:25: Method: GET, Path: /products, Status: 200, Duration: 1.6719ms
APP_LOG: 2024/12/04 13:48:05 logger.go:25: Method: GET, Path: /categories, Status: 200, Duration: 804.7µs
APP_LOG: 2024/12/04 13:48:08 logger.go:25: Method: OPTIONS, Path: /users/profile, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:48:08 logger.go:25: Method: GET, Path: /users/profile, Status: 200, Duration: 1.0939ms
APP_LOG: 2024/12/04 13:48:08 logger.go:25: Method: OPTIONS, Path: /products, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:48:08 logger.go:25: Method: OPTIONS, Path: /categories, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:48:08 logger.go:25: Method: GET, Path: /products, Status: 200, Duration: 695.2µs
APP_LOG: 2024/12/04 13:48:08 logger.go:25: Method: GET, Path: /categories, Status: 200, Duration: 32.439ms
APP_LOG: 2024/12/04 13:51:38 logger.go:25: Method: OPTIONS, Path: /users/profile, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:51:38 logger.go:25: Method: GET, Path: /users/profile, Status: 200, Duration: 720.8µs
APP_LOG: 2024/12/04 13:51:38 logger.go:25: Method: OPTIONS, Path: /products, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:51:38 logger.go:25: Method: OPTIONS, Path: /categories, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:51:38 logger.go:25: Method: GET, Path: /products, Status: 200, Duration: 1.4446ms
APP_LOG: 2024/12/04 13:51:38 logger.go:25: Method: GET, Path: /categories, Status: 200, Duration: 207.2µs
APP_LOG: 2024/12/04 13:51:44 logger.go:25: Method: OPTIONS, Path: /users/profile, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:51:44 logger.go:25: Method: GET, Path: /users/profile, Status: 200, Duration: 820.3µs
APP_LOG: 2024/12/04 13:51:44 logger.go:25: Method: OPTIONS, Path: /products, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:51:44 logger.go:25: Method: OPTIONS, Path: /categories, Status: 204, Duration: 0s
APP_LOG: 2024/12/04 13:51:44 logger.go:25: Method: GET, Path: /products, Status: 200, Duration: 1.4806ms
APP_LOG: 2024/12/04 13:51:44 logger.go:25: Method: GET, Path: /categories, Status: 200, Duration: 39.0841ms
APP_LOG: 2024/12/04 13:52:02 logger.go:25: Method: GET, Path: /users, Status: 403, Duration: 0s
APP_LOG: 2024/12/04 13:52:03 logger.go:25: Method: GET, Path: /favicon.ico, Status: 404, Duration: 0s
APP_LOG: 2024/12/04 13:52:05 logger.go:25: Method: GET, Path: /, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 13:52:20 logger.go:25: Method: GET, Path: /mectrics, Status: 404, Duration: 0s
APP_LOG: 2024/12/04 13:52:57 logger.go:25: Method: GET, Path: /, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 13:53:02 logger.go:25: Method: GET, Path: /metrics, Status: 404, Duration: 0s
APP_LOG: 2024/12/04 13:53:04 logger.go:25: Method: GET, Path: /metrics, Status: 404, Duration: 0s
APP_LOG: 2024/12/04 13:53:04 logger.go:25: Method: GET, Path: /metrics, Status: 404, Duration: 0s
